"Início dos relatórios","Término dos relatórios","Nome da campanha","Veiculação da campanha","Orçamento do conjunto de anúncios","Tipo de orçamento do conjunto de anúncios","Valor usado (BRL)",Resultados,"Indicador de resultados","Custo por resultados","CPM (custo por 1.000 impressões) (BRL)",Alcance,Frequência,Impressões,"CTR (taxa de cliques no link)","Cliques no link","CPC (custo por clique no link) (BRL)","Visitas ao perfil do Instagram"
2025-08-01,2025-08-31,"Reconhecimento insta",active,6,Diário,291.61,48,actions:onsite_conversion.messaging_conversation_started_7d,6.07520833,13.361895,11518,1.894773,21824,0.687317,150,1.944067,55
2025-08-01,2025-08-31,"Engajamento {180D}",inactive,6,Diário,97.66,6,actions:onsite_conversion.messaging_conversation_started_7d,16.27666667,25.202581,2001,1.936532,3875,0.645161,25,3.9064,11
